txn_id,date,merchant,amount,currency,status,category,account_id
TXN001,2024-01-15,Swiggy,450,INR,COMPLETED,Food,ACC001
TXN002,2024-01-16,Amazon,2500,INR,COMPLETED,Shopping,ACC001
TXN003,2024-01-17,Ola,320,INR,COMPLETED,Transport,ACC001
TXN004,2024-01-18,Swiggy,25,USD,COMPLETED,,ACC001
TXN005,2024-01-19,IRCTC,1200,INR,COMPLETED,Travel,ACC002
TXN006,2024-01-20,Netflix,499,INR,COMPLETED,Entertainment,ACC002
TXN007,2024-01-21,ATM Withdrawal,10000,INR,COMPLETED,Cash Withdrawal,ACC002
TXN008,2024-01-22,Electricity Board,1800,INR,COMPLETED,Utilities,ACC002
TXN009,2024-01-23,Swiggy,450,INR,COMPLETED,Food,ACC001
TXN010,2024-01-24,Unknown Merchant,15000,INR,COMPLETED,,ACC001
TXN011,15/01/2024,Flipkart,$1200,INR,PENDING,,ACC003
TXN012,2024-01-26,Ola,50,USD,COMPLETED,,ACC003
